Comment,Designator,Footprint,LCSC,Quantity
"100nF, 25V","C1,C10,C12,C14,C4,C6,C8",C_0402_1005Metric,C105883,7
20,R2,R_0402_1005Metric,C140182,1
"100nF, 50V","C17,C19,C21,C23",C_0603_1608Metric,C14663,4
1.2pF,C2,C_0402_1005Metric,C1551,1
C157399-L79L12ACUTR,U7,C157399-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,C157399,1
C157452-L79L05ABUTR,U6,C157452-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,C157452,1
C1870618-OPA818IDRGR,U1,C1870618-WSON-8_L3.0-W3.0-P0.50-TL-EP,C1870618,1
C2060224-OPA211AIDRGR,U2,C2060224-WSON-8_L3.0-W3.0-P0.50-BL-EP_DRG,C2060224,1
6.2k,"R10,R7",R_0402_1005Metric,C25915,2
"330nF, 50V","C16,C18,C20,C22",C_0603_1608Metric,C282682,4
1k,"R11,R4",R_0402_1005Metric,C2906864,2
150,R3,R_0402_1005Metric,C2909321,1
49.9,"R8,R9",R_0402_1005Metric,C2933103,2
681,R6,R_0402_1005Metric,C3015785,1
"10uF, 25V","C11,C13,C15,C3,C5,C9",C_0805_2012Metric,C3039694,6
C42738-L78L05ABUTR,U4,C42738-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,C42738,1
10nF,C7,C_0402_1005Metric,C5137480,1
4.64k,R5,R_0402_1005Metric,C5153956,1
1.65k,R1,R_0402_1005Metric,C5203995,1
C527498-OPA657U_2K5,U3,C527498-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C527498,1
C914558-SMA-KE-P903,"J1,J2",C914558-SMA-TH_SMA-KE-P903,C914558,2
C915681-L78L12ABUTR,U5,C915681-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,C915681,1
