Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"100nF, 25V",C_0402_1005Metric,74.2,-77.48,-90.0,top
C10,"100nF, 25V",C_0402_1005Metric,80.246297,-73.280064,90.0,top
C11,"10uF, 25V",C_0805_2012Metric,78.446297,-74.100064,90.0,top
C12,"100nF, 25V",C_0402_1005Metric,56.32,-71.9,0.0,top
C13,"10uF, 25V",C_0805_2012Metric,54.2,-73.1,-90.0,top
C14,"100nF, 25V",C_0402_1005Metric,53.82,-62.7,0.0,top
C15,"10uF, 25V",C_0805_2012Metric,60.4,-63.5,-90.0,top
C16,"330nF, 50V",C_0603_1608Metric,62.3,-56.85,-90.0,top
C17,"100nF, 50V",C_0603_1608Metric,69.591491,-56.856236,-90.0,top
C18,"330nF, 50V",C_0603_1608Metric,62.3,-61.7,90.0,top
C19,"100nF, 50V",C_0603_1608Metric,69.6,-65.3,-90.0,top
C2,1.2pF,C_0402_1005Metric,65.9,-77.78,90.0,top
C20,"330nF, 50V",C_0603_1608Metric,76.875,-62.45,0.0,top
C21,"100nF, 50V",C_0603_1608Metric,72.4,-65.3,-90.0,top
C22,"330nF, 50V",C_0603_1608Metric,77.2,-54.0,0.0,top
C23,"100nF, 50V",C_0603_1608Metric,72.291491,-56.856236,-90.0,top
C3,"10uF, 25V",C_0805_2012Metric,55.2,-78.8,180.0,top
C4,"100nF, 25V",C_0402_1005Metric,58.7,-78.0,180.0,top
C5,"10uF, 25V",C_0805_2012Metric,56.4,-75.6,90.0,top
C6,"100nF, 25V",C_0402_1005Metric,59.1,-75.8,-90.0,top
C7,10nF,C_0402_1005Metric,59.9,-70.2,90.0,top
C8,"100nF, 25V",C_0402_1005Metric,85.7,-70.8,-90.0,top
C9,"10uF, 25V",C_0805_2012Metric,82.607417,-67.149936,180.0,top
J1,C914558-SMA-KE-P903,C914558-SMA-TH_SMA-KE-P903,84.5,-52.4,0.0,top
J2,C914558-SMA-KE-P903,C914558-SMA-TH_SMA-KE-P903,55.5,-52.4,0.0,top
R1,1.65k,R_0402_1005Metric,64.7,-77.81,90.0,top
R10,6.2k,R_0402_1005Metric,75.6,-75.4,90.0,top
R11,1k,R_0402_1005Metric,75.6,-77.5,90.0,top
R2,20,R_0402_1005Metric,65.2,-76.199949,180.0,top
R3,150,R_0402_1005Metric,60.31,-66.1,0.0,top
R4,1k,R_0402_1005Metric,79.7,-70.4,0.0,top
R5,4.64k,R_0402_1005Metric,82.0,-69.1,0.0,top
R6,681,R_0402_1005Metric,57.41,-62.70251,180.0,top
R7,6.2k,R_0402_1005Metric,55.4,-61.4,180.0,top
R8,49.9,R_0402_1005Metric,84.5,-60.0,90.0,top
R9,49.9,R_0402_1005Metric,55.5,-57.9,90.0,top
U1,C1870618-OPA818IDRGR,C1870618-WSON-8_L3.0-W3.0-P0.50-TL-EP,61.88373,-77.0,180.0,top
U2,C2060224-OPA211AIDRGR,C2060224-WSON-8_L3.0-W3.0-P0.50-BL-EP_DRG,82.9,-71.8,-90.0,top
U3,C527498-OPA657U_2K5,C527498-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,56.2,-67.3,180.0,top
U4,C42738-L78L05ABUTR,C42738-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,66.0,-58.244514,-90.0,top
U5,C915681-L78L12ABUTR,C915681-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,66.0,-66.644539,90.0,top
U6,C157452-L79L05ABUTR,C157452-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,76.1,-66.644514,-90.0,top
U7,C157399-L79L12ACUTR,C157399-SOT-89-3_L4.5-W2.5-P1.50-LS4.2-TL,76.1,-58.244514,-90.0,top
